words,definition
symbolic link,"<p>Symbolic link (hoặc symlink) là tính năng hệ thống tập tin (file system) có thể được sử dụng để tạo liên kết đến một file hoặc thư mục cụ thể. Nó tương tự như ""phím tắt"" (shortcut) của Windows hoặc ""bí danh"" (alias) của Mac, nhưng không phải là một file thực tế. Thay vào đó, một symbolic link là một entry trong hệ thống tập tin trỏ đến một thư mục hoặc file. Hệ thống nhận dạng symbolic link là thư mục hoặc file thực tế, cung cấp một cách thay thế để truy cập nó.</p>"
subdirectory,<span> Thư mục con</span>
struct,"<p>Struct (viết tắt của structure) là một kiểu dữ liệu có sẵn trong các ngôn ngữ lập trình C, chẳng hạn như C, C ++ và C #. Đây là kiểu dữ liệu do người dùng xác định có thể lưu trữ nhiều mục (item) liên quan. Struct  tương tự như một bản ghi (record) cơ sở dữ liệu vì nó có thể chứa nhiều kiểu dữ liệu liên quan đến một thực thể (entity) duy nhất.</p>"
pad character,<span> Ký tự đệm</span>
null character,<span> Ký tự null</span>
no-operation instruction,"<p>No-operation instruction còn được gọi là do-nothing instruction, no-operation instruction,  NO-OP hoặc NOP instruction trong lập trình yêu cầu chương trình không làm gì nếu một câu lệnh điều kiện (conditional statement) được đáp ứng.</p>"
nonexecutable statement,<span> Câu lệnh bất khả thi</span>
noncontiguous data structure,<span> Cấu trúc dữ liệu không liền kề</span>
NodeList,"<p>Trong DOM (Document Object Model) trên các trình duyệt, NodeList là một đối tượng (object) bao gồm danh sách tất cả các node trong một trang. Một NodeList cũng có thể bao gồm tất cả các node trong một tập hợp các node được chọn cụ thể. Một NodeList có thể được chọn bằng ngôn ngữ lập trình, chẳng hạn như JavaScript. Ví dụ: một NodeList có thể được chọn bằng cách sử dụng phương thức getElementsByTagName () của đối tượng document  trong JavaScript. Ví dụ dưới đây lấy một tập hợp tất cả các node div trong tài liệu.</p>"
NIM,"<p>NIM viết tắt của ""No Internal Message"", NIM có thể được sử dụng trong dòng tiêu đề e-mail (subject) để cho biết không có văn bản nào trong nội dung thư. NIM giúp người đọc biết họ không cần phải mở thư. Vì hầu hết các chương trình và dịch vụ e-mail hiện nay đều có phần xem trước của nội dung thư, ngày nay NIM hiếm khi được sử dụng.</p>"
nested function,<span> Hàm lồng nhau</span>
null pointer,<span> Con trỏ null</span>
null pointer,<span> Con trỏ null</span>
nested loops join,"<p>Nested loops join còn được gọi là nested loop join, là một thuật toán lập trình máy tính nối hai tập dữ liệu bằng cách sử dụng các vòng lặp lồng nhau (nested loop) thường được sử dụng trong quản lý cơ sở dữ liệu.</p>"
ne,<span> Không bằng</span>
NDA,"<p>NDA viết tắt của non-disclosure agreement, NDA là một thỏa thuận mà tester hoặc developer thực hiện với một công ty, cho thấy họ sẽ không tiết lộ bất kỳ tài sản trí tuệ hoặc bí mật nào của công ty. Ví dụ: nếu bạn đang thử nghiệm beta (beta testing) trò chơi, bạn thường đồng ý với NDA, có nghĩa là bạn không thể đăng bất kỳ điều gì về trò chơi trong khi nó đang được thử nghiệm.</p>"
native compiler,"<p>Native compiler là ứng dụng chuyển đổi một ngôn ngữ, thường là ngôn ngữ cấp cao (high-level language) sang nhị phân hoặc native language của máy tính.</p>"
NaN,"<p>NaN viết tắt của ""not a number"" (không phải là một số), trong toán học và lập trình máy tính NaN là một giá trị không xác định hoặc không thể biểu diễn, đặc biệt là trong các phép tính dấu phẩy động. Ví dụ: 0/0 hoặc căn bậc hai của một số âm sẽ trả về kết quả NaN.</p>"
SNMP,"<p>Viết tắt của ""Simple Network Management Protocol"". SNMP được sử dụng để trao đổi thông tin quản lý giữa các thiết bị mạng (network device). Ví dụ: SNMP có thể được sử dụng để cấu hình router hoặc đơn giản là kiểm tra trạng thái của nó. Có bốn loại lệnh SNMP được sử dụng để điều khiển và giám sát các thiết bị được quản lý: 1) read, 2) write, 3) trap, and 4) traversal operations.</p>"
spellchecking,"<p>Spellchecking là hình thức động từ của danh từ spellcheck (spellchecking a document).</p>"
spellcheck,"<p>Kiểm tra chính tả (spellcheck) là một tính năng được bao gồm trong các hệ điều hành và ứng dụng khác nhau để kiểm tra văn bản để tìm lỗi chính tả. Một số trình kiểm tra chính tả (spellchecker) phải được chạy theo cách thủ công, trong khi những trình kiểm tra khác kiểm tra từng từ khi bạn nhập.</p>"
print spool,<p>Xem thuật ngữ spool.</p>
spool,"<p>Spool là một vùng lưu trữ tạm thời trong RAM của máy tính chứa dữ liệu đầu vào hoặc đầu ra. Khi một công việc được bắt đầu trên máy tính, nhưng không thể chạy ngay lập tức, nó thường được đặt trong một spool. Quá trình này được gọi là spooling. Spool lưu giữ dữ liệu cho đến khi thiết bị thích hợp sẵn sàng sử dụng.</p>"
soft token,"<p>Soft token là phiên bản phần mềm của hard token (một thiết bị bảo mật được sử dụng để cấp cho người dùng được ủy quyền quyền truy cập vào các vị trí an toàn hoặc hệ thống máy tính). Vì lý do này, soft token có thể được gọi là virtual token.</p>"
hard tag,"<p>Hard tag là một loại hard token khác được sử dụng làm thiết bị bảo mật cho hàng hóa như quần áo và đồ điện tử. Bạn có thể đã thấy những thứ này được sử dụng trong một số cửa hàng bán lẻ, nơi chúng được sử dụng để ngăn chặn hành vi trộm cắp. Nếu ai đó cố gắng thoát ra khỏi tòa nhà với hàng hóa trước khi hard token đã bị vô hiệu hóa, điều đó sẽ khiến hệ thống an ninh cạnh cửa phát ra tiếng bíp. Tất nhiên, nếu nhân viên thu ngân quên vô hiệu hóa hard token, bạn sẽ gặp phải âm thanh bíp khó chịu khi thoát ra ngay cả khi bạn đã thanh toán cho hàng hóa.</p>"
hard token,"<p>Hard token đôi khi được gọi là authentication token, là một thiết bị bảo mật phần cứng được sử dụng để cấp quyền cho người dùng. Một ví dụ phổ biến về hard token là security card cho phép người dùng truy cập vào các khu vực khác nhau của tòa nhà hoặc cho phép anh ta đăng nhập vào hệ thống máy tính. Một số hard token được sử dụng kết hợp với các biện pháp bảo mật khác để tăng cường bảo mật hơn nữa. Ví dụ: tên người dùng (username) và mật khẩu hoặc quét vân tay có thể được yêu cầu cùng với hard token để có quyền truy cập vào một hệ thống an toàn (secure system).</p>"
SMB,"<p>SMB viết tắt của ""Server Message Block."". SMB là một giao thức mạng (network protocol) được sử dụng bởi các máy tính chạy Windows cho phép các hệ thống trong cùng một mạng chia sẻ file. Nó cho phép các máy tính được kết nối với cùng một mạng hoặc domain  truy cập file từ các máy tính cục bộ (local computer) khác dễ dàng như thể chúng nằm trên ổ cứng (hard drive) cục bộ của máy tính.</p>"
snippet,<p>Xem code snippet.</p>
snapshot,"<p>Trong khi thuật ngữ snapshot thường được sử dụng trong nhiếp ảnh, nó cũng là một thuật ngữ máy tính đề cập đến một bản sao được tạo từ ổ đĩa (disk drive) tại một thời điểm cụ thể. Snapshot rất hữu ích để sao lưu dữ liệu ở các khoảng thời gian khác nhau, cho phép khôi phục thông tin từ các khoảng thời gian khác nhau.</p>"
skin,"<p>Thuật ngữ kỳ lạ này đề cập đến vẻ ngoài của giao diện (interface) chương trình. Bằng cách thay đổi skin của một chương trình, bạn có thể làm cho giao diện trông hoàn toàn khác, nhưng thường vẫn có tất cả các chức năng giống nhau. Nó tương tự như một ""Theme"" mà bạn có thể sử dụng để tùy chỉnh giao diện của màn hình máy tính của mình.</p>"
service pack,"<p>Service pack là một gói (package) phần mềm có chứa một số bản cập nhật (update) cho một ứng dụng hoặc hệ điều hành (operating system). Các bản cập nhật riêng lẻ thường được gọi là bản cập nhật (update) phần mềm hoặc bản vá (patch). Khi một công ty phần mềm đã phát triển một số bản cập nhật cho một chương trình hoặc hệ điều hành nhất định, công ty đó có thể phát hành tất cả các bản cập nhật cùng nhau trong một service pack.</p>"
silent install,"<p>Silent install là cài đặt chương trình phần mềm không cần người dùng tương tác. Đó là một cách thuận tiện để hợp lý hóa quá trình cài đặt của một ứng dụng trên máy tính để bàn (desktop). Silent install được thực hiện bởi nhiều chương trình phần mềm hợp pháp, nhưng chúng cũng bị phần mềm độc hại (malware) và PUP sử dụng để ẩn quá trình cài đặt với người dùng.</p>"
central office,<span> Trung kế</span>
cell tower,<span> Tháp di động</span>
preference,<span> Sở thích</span>
cyberspace,<p>Cyberspace là thế giới trực tuyến của mạng máy tính và đặc biệt là Internet</p>
logical drive,<span> Ổ đĩa logic</span>
dynamic disk,<span> Đĩa động</span>
physical volume,"<p>Physical volume là bất kỳ thiết bị lưu trữ (storage device) vật lý nào, chẳng hạn như ổ đĩa cứng (HDD), ổ đĩa thể rắn (SSD) hoặc phân vùng (partition).</p>"
